['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 20.0, 43.0, 117.0, 4.0, 18.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 20.0, 43.0, 117.0, 4.0, 18.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 20.0, 43.0, 117.0, 4.0, 18.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 20.0, 43.0, 117.0, 8.0, 19.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 1.0, 10.0, 82.0, 42.0, 20.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, -1.0, 14.0, 96.0, 51.0, 21.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, -1.0, 14.0, 96.0, 52.0, 20.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, -1.0, 14.0, 96.0, 50.0, 20.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 15.0, 32.0, 96.0, -4.0, 25.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 5.0, 42.0, 99.0, -4.0, 24.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
[-9.0, 5.0, 42.0, 99.0, -4.0, 24.0, 0.0, 32.0, 0.0, 80.0, -1.0, 0.0]
