['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-6.0, 10.0, 21.0, 108.0, -17.0, 23.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 10.0, 21.0, 108.0, -17.0, 23.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 10.0, 21.0, 108.0, -17.0, 23.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-4.0, 12.0, 39.0, 102.0, -5.0, 22.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, -7.0, 25.0, 70.0, 72.0, 33.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, -7.0, 26.0, 79.0, 89.0, 40.0, 0.0, 33.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, -7.0, 28.0, 79.0, 90.0, 40.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 1.0, 28.0, 79.0, 55.0, 40.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 8.0, 24.0, 100.0, -6.0, 40.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 6.0, 31.0, 101.0, -7.0, 39.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 7.0, 32.0, 101.0, -11.0, 38.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 6.0, 32.0, 101.0, -11.0, 38.0, 0.0, 32.0, 0.0, 81.0, -1.0, 0.0]
