['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-6.0, 6.0, 38.0, 100.0, -3.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 6.0, 38.0, 100.0, -3.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[-6.0, 6.0, 38.0, 100.0, -3.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[-4.0, 9.0, 42.0, 99.0, 5.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[8.0, 23.0, 39.0, 85.0, 53.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[10.0, 3.0, 40.0, 70.0, 73.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[14.0, -11.0, 40.0, 71.0, 76.0, 33.0, 0.0, 55.0, 0.0, 81.0, -1.0, 0.0]
[16.0, -13.0, 40.0, 78.0, 89.0, 23.0, 0.0, 47.0, 0.0, 82.0, -1.0, 0.0]
[16.0, -13.0, 40.0, 78.0, 89.0, 22.0, 0.0, 45.0, 0.0, 82.0, -1.0, 0.0]
[16.0, -6.0, 40.0, 80.0, 81.0, 24.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
[7.0, 7.0, 40.0, 89.0, 21.0, 25.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
[-7.0, 0.0, 37.0, 92.0, 7.0, 25.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
[-8.0, -1.0, 36.0, 93.0, 0.0, 25.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
[-8.0, -1.0, 36.0, 93.0, 0.0, 25.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
[-8.0, -1.0, 36.0, 93.0, 0.0, 25.0, 0.0, 45.0, 0.0, 81.0, -1.0, 0.0]
