['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-5.0, 12.0, 19.0, 110.0, -16.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-5.0, 12.0, 19.0, 110.0, -16.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-5.0, 12.0, 19.0, 110.0, -16.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 23.0, 18.0, 110.0, 33.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 20.0, 21.0, 110.0, 77.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[1.0, 20.0, 21.0, 110.0, 79.0, 45.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[0.0, 21.0, 21.0, 110.0, 68.0, 46.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-4.0, 16.0, 21.0, 110.0, -5.0, 46.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 22.0, 110.0, -15.0, 40.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
