['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[15.0, -1.0, 21.0, 96.0, -18.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[15.0, -1.0, 21.0, 96.0, -18.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[15.0, -1.0, 21.0, 96.0, -18.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[15.0, -1.0, 22.0, 96.0, -18.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[31.0, 31.0, 18.0, 97.0, -19.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[69.0, 27.0, -6.0, 118.0, 28.0, 32.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[78.0, 12.0, -6.0, 123.0, 39.0, 31.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[78.0, 12.0, -6.0, 122.0, 39.0, 31.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[66.0, 18.0, -6.0, 111.0, 3.0, 31.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[42.0, 17.0, -6.0, 111.0, -17.0, 31.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[15.0, 16.0, 22.0, 111.0, 2.0, 31.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[13.0, 12.0, 22.0, 111.0, -23.0, 26.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[12.0, 12.0, 22.0, 111.0, -26.0, 26.0, 0.0, 58.0, 0.0, 82.0, -1.0, 0.0]
