['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-24.574413, 81.615074, 46.801533, 95.27153, -58.710987, 114.26075, 20.451235]
[-24.246271, 80.47543, 47.11532, 93.90446, -52.190197, 114.14017, 16.929424]
[-23.683079, 78.424904, 47.19703, 91.418365, -43.7404, 114.01459, 13.165245]
[-23.118238, 76.34454, 47.16877, 88.985634, -34.75828, 113.89178, 9.401064]
[-22.758957, 74.243515, 47.133778, 86.3822, -28.584372, 113.769104, 5.735279]
[-22.291664, 72.1356, 47.098785, 85.23431, -24.241842, 113.6922, 2.2492228]
[-21.823421, 69.99891, 47.063793, 84.232216, -20.93928, 113.6902, -1.2368484]
[-21.278276, 67.86223, 47.0288, 83.230125, -18.205513, 113.68594, -4.7229166]
[-20.672443, 65.72555, 46.993805, 82.235596, -15.471751, 113.33411, -8.20899]
[-20.0189, 63.59481, 46.96113, 81.317505, -12.728226, 112.98224, -11.695062]
[-19.25395, 61.532104, 46.929935, 80.49486, -9.967571, 112.63038, -15.181131]
[-18.34513, 59.469418, 46.8983, 79.708755, -7.2069173, 112.2785, -18.651522]
[-17.36262, 57.425434, 46.866657, 78.92266, -4.4462614, 111.92665, -22.117064]
[-16.305935, 55.408882, 46.873325, 78.13656, -1.6856081, 111.57479, -25.582598]
[-15.251915, 53.392315, 46.94874, 77.350464, 1.0750501, 111.22387, -29.048141]
[-14.211403, 51.37575, 47.024155, 76.55228, 3.835709, 110.87548, -32.51369]
[-13.170895, 49.25892, 47.099567, 75.74547, 6.5963593, 110.558716, -35.979225]
[-12.130384, 46.828327, 47.17498, 74.938675, 9.3570175, 110.262085, -39.44477]
[-11.089873, 44.397747, 47.250397, 74.13187, 12.117676, 109.96543, -42.91031]
[-10.049367, 41.967163, 47.32581, 73.32507, 14.87833, 109.6688, -46.611504]
[-8.893646, 39.536587, 47.615932, 72.51825, 17.625284, 105.24641, -50.38277]
[-7.5840907, 37.106003, 48.004192, 71.71146, 20.347681, 98.10584, -54.136463]
[-6.152347, 34.675415, 48.42841, 71.37658, 23.070087, 90.37625, -57.87911]
[-4.720604, 32.24483, 48.885, 72.00537, 25.791698, 83.165726, -61.621758]
[-3.2415223, 30.354136, 49.341568, 72.81382, 28.39418, 76.14279, -65.40938]
[-1.5334309, 28.536425, 49.79815, 73.62227, 30.48825, 69.12118, -69.23249]
[0.525256, 26.718718, 50.254726, 74.430725, 32.501392, 62.09959, -73.77918]
[2.6985426, 24.901003, 50.711308, 75.23918, 34.51455, 55.077972, -78.802574]
[4.87182, 23.083294, 51.167877, 76.04762, 36.52769, 48.056374, -85.60885]
[7.0450997, 21.265585, 51.624462, 76.85608, 38.540833, 40.975418, -93.45125]
[9.218382, 19.447872, 52.081043, 78.602394, 40.553986, 33.848434, -104.42448]
[11.391663, 17.630163, 52.53762, 80.44277, 42.56713, 26.721464, -117.200584]
[13.5649395, 15.812453, 52.994194, 82.28315, 44.580265, 20.161617, -129.9767]
[15.738226, 14.554649, 53.450775, 84.12355, 46.59342, 19.610214, -137.70781]
[17.911507, 14.259846, 53.90736, 85.96393, 48.606564, 21.80658, -139.95013]
[19.647081, 14.317708, 54.36393, 87.80431, 50.61971, 24.002954, -142.19243]
[21.084328, 14.591865, 54.82051, 89.93338, 52.632854, 26.199331, -144.43477]
[22.521568, 15.161697, 54.935417, 92.652176, 54.646, 28.395697, -146.67706]
[23.95881, 15.731531, 54.460575, 95.370995, 56.659138, 30.592072, -148.91939]
[25.388157, 16.301369, 53.329105, 98.0898, 58.672283, 32.788437, -151.1617]
[26.69737, 16.923223, 51.828045, 100.8086, 60.68544, 34.98482, -153.40404]
[27.958916, 17.991629, 50.292492, 104.239716, 64.96962, 37.181187, -155.64633]
[29.220463, 19.420385, 48.756927, 107.84042, 70.09526, 39.377556, -157.88863]
[30.482008, 22.028526, 47.221363, 111.44114, 75.220924, 41.57236, -160.13097]
[31.743551, 24.886517, 45.69539, 115.04186, 80.34658, 43.766624, -162.37328]
[33.0051, 27.744501, 44.24273, 118.745895, 85.47223, 45.96089, -164.61559]
[34.266644, 30.6025, 42.81159, 124.119095, 90.5979, 48.155163, -166.85791]
[35.528187, 33.460487, 41.472057, 129.72166, 95.72354, 50.349434, -169.1002]
[36.78973, 36.318478, 40.301765, 135.57878, 100.84919, 52.543697, -171.34253]
[38.05128, 39.17647, 39.139324, 141.43591, 105.97486, 54.737957, -173.58485]
[39.31299, 42.034462, 38.10367, 146.92514, 111.1005, 56.93223, -175.82716]
