['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-25.008026, 81.69331, 45.563526, 95.34823, -59.525852, 116.533005, 31.502357]
[-24.603973, 80.8317, 45.88065, 95.28866, -56.888332, 119.83776, 27.354847]
[-24.196905, 79.1995, 45.89144, 93.861145, -53.987988, 123.142525, 23.207338]
[-23.780714, 77.43946, 45.90222, 92.25919, -51.08763, 126.447296, 19.059818]
[-23.363586, 75.43825, 45.91301, 90.658936, -48.18729, 129.44238, 14.912307]
[-22.949259, 73.43711, 45.923798, 89.05866, -45.286938, 132.15579, 10.764791]
[-22.534939, 71.435974, 45.93458, 87.458405, -42.386585, 134.86922, 6.6172757]
[-22.134224, 69.34517, 45.94537, 85.95458, -39.68252, 137.49036, 2.6078737]
[-21.662077, 67.22276, 45.956158, 84.638504, -37.194653, 138.02547, -0.7892293]
[-21.068352, 65.100334, 45.96694, 83.32242, -34.789524, 137.92029, -4.1863246]
[-20.458437, 62.9779, 45.981377, 82.00633, -32.607555, 137.48929, -7.5834355]
[-19.808523, 60.855488, 46.009537, 80.69024, -30.45702, 136.66298, -10.980536]
[-19.464964, 58.365578, 46.065914, 79.37417, -28.306492, 135.7098, -14.377633]
[-19.320457, 55.84665, 46.232227, 78.058075, -26.15596, 134.7566, -17.774734]
[-19.189232, 53.32773, 46.423756, 76.74199, -24.00543, 133.7873, -21.171837]
[-19.061363, 50.808807, 46.615284, 75.4259, -21.854895, 132.81677, -24.568935]
[-18.933498, 48.289886, 46.806816, 74.10982, -19.70437, 131.84625, -27.966036]
[-18.73155, 45.77096, 46.99834, 72.79373, -17.471981, 130.87573, -31.363136]
[-18.193325, 43.25205, 47.189873, 71.477646, -14.963116, 129.90521, -34.76025]
[-17.593819, 40.733128, 47.38141, 70.16156, -12.454253, 128.93468, -38.157345]
[-16.943256, 38.260983, 47.70773, 68.845474, -9.945388, 127.96416, -41.554443]
[-15.971567, 35.970245, 48.183834, 67.52939, -7.4365277, 126.99364, -45.099762]
[-14.398095, 33.679733, 48.659935, 66.5217, -4.9276648, 126.02311, -51.029457]
[-12.796448, 31.389233, 49.136036, 66.78628, -2.255113, 125.05259, -63.25435]
[-11.172971, 29.09872, 49.612144, 67.05084, 0.53716666, 124.08209, -77.180565]
[-9.519394, 26.808207, 50.088257, 67.31543, 3.7289834, 123.11156, -91.10679]
[-7.865821, 24.517696, 50.564354, 67.58, 7.2027807, 122.14104, -105.03303]
[-6.212242, 22.227188, 51.040462, 67.844574, 10.676591, 121.17051, -118.95928]
[-4.558668, 20.947876, 51.51657, 68.10915, 14.150391, 120.19999, -132.88548]
[-2.9050934, 19.90912, 51.992676, 68.373726, 17.624195, 119.22948, -141.84557]
[-1.2515161, 18.870358, 52.46879, 68.6383, 21.09801, 118.25895, -142.79027]
[0.40206045, 17.831615, 52.94489, 68.90288, 24.571802, 117.28843, -143.73499]
[2.0556302, 16.792854, 53.420994, 69.16745, 28.045609, 116.31791, -144.6797]
[3.7092094, 15.754091, 53.897095, 70.18734, 31.519417, 115.34739, -145.62439]
[5.5315585, 14.7153425, 54.373188, 71.50698, 34.993217, 113.724815, -146.5691]
[7.3979306, 13.676586, 54.849274, 72.82661, 38.46702, 112.09243, -147.4756]
[9.264306, 12.637839, 54.918293, 74.14625, 41.94082, 110.46006, -147.69331]
[11.130676, 11.599076, 54.515675, 75.46589, 45.41462, 108.827705, -147.7835]
[12.98784, 10.560327, 54.111126, 76.78553, 48.88843, 107.19534, -147.87364]
[14.779928, 9.52157, 53.463184, 78.10516, 52.36223, 105.56297, -147.96384]
[16.526552, 8.970214, 52.618835, 79.4248, 55.836037, 103.9306, -148.05396]
[18.276066, 8.604181, 51.774475, 81.68725, 59.309834, 102.298225, -148.14415]
[20.057236, 8.238147, 50.93013, 84.01799, 62.78364, 100.66588, -148.23431]
[21.841825, 7.8721046, 50.085773, 86.348755, 66.257454, 99.03351, -148.32448]
[23.626415, 8.021265, 49.24142, 88.679504, 69.73126, 97.40112, -148.41461]
[25.411007, 8.521978, 48.39706, 91.01026, 73.20505, 95.76875, -148.50478]
[27.195604, 9.548705, 47.55271, 93.491936, 76.67886, 94.13638, -148.59494]
[28.98019, 10.575431, 46.708363, 96.07425, 80.152664, 92.527885, -148.6851]
[30.76477, 11.60215, 45.86401, 98.65655, 83.62646, 92.08637, -148.77528]
[32.54937, 12.628878, 45.01965, 101.23886, 87.10028, 92.002754, -148.86545]
[34.333965, 13.655601, 44.175304, 103.82117, 90.57409, 91.931816, -148.95558]
