['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-25.021898, 82.20699, 46.75384, 94.369125, -58.713406, 113.23584, 48.216106]
[-25.1263, 80.54638, 46.93855, 92.52218, -56.81186, 114.46307, 41.485962]
[-24.729921, 78.06991, 46.968113, 89.837456, -54.69738, 115.69031, 34.686092]
[-23.910233, 75.57688, 47.01624, 87.156975, -52.410976, 116.91756, 27.88622]
[-23.0673, 73.125114, 47.079533, 84.59524, -50.124565, 118.1448, 21.08635]
[-22.241455, 70.989, 47.142834, 82.04561, -47.838158, 119.372025, 14.286481]
[-21.420519, 68.90893, 47.206135, 79.49601, -45.38209, 120.599266, 7.486615]
[-20.59585, 66.8684, 47.26943, 78.010475, -42.549324, 121.826515, 0.68674076]
[-19.75195, 64.876755, 47.33273, 76.904594, -39.54411, 123.053734, -6.1131244]
[-18.91112, 62.743065, 47.396027, 75.91348, -36.797657, 124.28099, -12.9129925]
[-18.069666, 60.608597, 47.459316, 74.96757, -34.118427, 125.50823, -19.712868]
[-17.06622, 58.474136, 47.522617, 73.86037, -31.523651, 126.73588, -26.512735]
[-15.909322, 56.339684, 47.58592, 72.66617, -29.005674, 127.97696, -33.312603]
[-14.57692, 53.946224, 47.64922, 71.47196, -26.487705, 129.22014, -40.112473]
[-13.282178, 51.348038, 48.03376, 70.16378, -23.969723, 128.90735, -47.564407]
[-11.88388, 48.677914, 49.05292, 68.76, -21.456417, 127.58043, -55.47387]
[-10.338786, 45.928463, 50.115616, 67.35624, -18.956757, 126.25351, -63.383347]
[-8.389482, 43.33444, 51.178314, 65.95247, -16.468937, 124.85703, -71.292816]
[-6.4162364, 40.77602, 52.24101, 64.76299, -14.000823, 123.737305, -76.91925]
[-4.312672, 38.2176, 53.3037, 64.292244, -11.532714, 122.84804, -81.43958]
[-2.0770032, 35.875504, 54.3664, 63.821484, -9.064599, 121.95875, -85.95993]
[0.15866297, 34.34887, 55.429092, 63.35073, -6.596491, 121.06945, -90.48026]
[2.3943293, 32.822235, 56.491795, 63.32266, -4.128379, 120.168686, -95.0006]
[4.6299996, 31.336533, 57.554478, 64.04756, -0.4734518, 119.22055, -99.520966]
[6.865665, 30.000488, 58.3633, 64.973045, 3.6956515, 118.27242, -104.0413]
[9.101334, 28.664434, 58.606354, 66.11734, 8.526689, 117.324295, -108.56164]
[11.337, 27.328384, 58.754635, 67.26162, 13.402761, 116.35235, -113.081985]
[13.572671, 25.992332, 58.892307, 68.405914, 18.278849, 114.88123, -117.602325]
[15.808336, 24.656286, 58.952732, 69.550186, 23.72942, 112.9399, -122.12267]
[18.043999, 23.32023, 58.79266, 70.694466, 29.26958, 110.70906, -126.643005]
[20.279667, 21.984182, 58.535896, 71.83876, 34.809757, 108.449425, -131.16336]
[22.515337, 20.648129, 58.279133, 72.98303, 40.349926, 106.18979, -135.6837]
[24.750998, 19.345196, 58.02238, 74.12733, 45.91341, 102.8334, -140.20403]
[26.986673, 18.07389, 57.76561, 75.27161, 51.61999, 94.82994, -144.71263]
[29.222334, 16.802586, 57.50887, 76.415886, 57.326553, 86.8265, -147.08572]
[31.458002, 15.531284, 57.252106, 77.560165, 62.323673, 78.82304, -148.65466]
[33.693676, 14.676494, 56.995342, 79.098015, 65.68701, 70.819595, -150.22362]
[35.92934, 13.85248, 56.73859, 81.69556, 68.969826, 62.816166, -151.11134]
[38.047348, 13.028454, 56.481827, 84.29311, 72.252625, 54.81273, -151.79388]
[40.099155, 12.692015, 56.163406, 86.89066, 75.53546, 46.809288, -152.47643]
[42.15097, 12.580011, 55.378487, 89.48823, 78.81828, 38.80584, -153.15898]
[44.20278, 12.468011, 54.281483, 92.115265, 82.10109, 30.802391, -153.84154]
[46.254593, 12.424043, 53.184483, 95.18072, 85.3839, 22.863104, -154.52408]
[48.108868, 13.85268, 52.08747, 99.49873, 88.66673, 21.59194, -155.20665]
[49.77312, 15.598226, 50.992313, 103.81676, 91.94955, 20.914843, -155.88919]
[51.30079, 17.343765, 49.89941, 108.13476, 95.23237, 20.237751, -156.57173]
[52.81992, 19.388165, 48.806488, 112.452774, 98.51519, 19.560652, -157.25429]
[54.33906, 22.167936, 47.65604, 117.00054, 101.798004, 18.883562, -157.93683]
[55.85819, 25.103365, 46.418556, 121.594986, 105.08082, 18.206467, -158.6194]
[57.377323, 28.038801, 45.18106, 126.189415, 108.36364, 17.52937, -159.30196]
[58.896465, 30.974228, 43.943554, 130.78384, 111.646454, 16.85228, -159.9845]
