['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-25.087446, 82.09823, 46.75979, 93.04594, -58.833004, 27.650114, 60.27813]
[-25.223923, 80.56621, 47.20953, 91.49203, -58.733284, 30.376865, 57.3299]
[-25.233337, 78.4312, 47.64031, 89.535774, -58.633575, 33.64258, 53.45158]
[-25.171486, 76.296196, 48.071087, 87.16437, -58.53386, 37.488968, 49.070477]
[-24.88093, 74.022194, 48.53314, 84.421486, -58.43414, 42.62495, 43.57184]
[-24.405436, 72.042366, 49.2944, 83.069824, -58.334427, 51.74569, 37.324886]
[-23.569153, 70.13605, 50.060986, 81.923515, -58.234707, 64.32019, 31.077932]
[-22.713026, 68.22974, 50.82757, 80.7772, -58.13817, 76.89986, 24.830976]
[-21.856901, 66.32343, 51.59416, 79.63088, -58.175423, 89.47949, 18.58402]
[-21.022747, 64.41711, 52.360744, 78.48456, -58.21727, 102.05915, 12.337066]
[-20.227585, 62.50551, 53.12733, 77.20203, -58.091, 114.28292, 6.0901113]
[-19.432423, 60.475708, 53.852276, 75.67026, -57.32294, 120.55094, -0.15684]
[-18.637259, 58.445923, 54.349216, 74.13848, -56.13225, 124.42756, -6.3883286]
[-17.842093, 56.254547, 54.842457, 72.62911, -54.35462, 126.41257, -12.619141]
[-17.046928, 53.934326, 54.963623, 71.16606, -52.3193, 127.435524, -18.849957]
[-16.14014, 51.645584, 54.940014, 70.11545, -49.869705, 128.19734, -25.08077]
[-15.206553, 49.47178, 54.888035, 69.14776, -46.7937, 128.50374, -31.311579]
[-14.2729645, 47.372356, 54.83605, 68.18006, -43.62945, 128.8425, -37.5424]
[-13.3393755, 45.301064, 54.730194, 67.21236, -40.33313, 129.18526, -43.773212]
[-12.405786, 43.241417, 54.5129, 66.244675, -36.853416, 129.52797, -50.4139]
[-11.472196, 40.892693, 54.295597, 65.27696, -33.32046, 129.87068, -60.24431]
[-10.538607, 38.384403, 54.07829, 64.30927, -29.787508, 130.21344, -71.54815]
[-9.589027, 35.876118, 53.86099, 63.34157, -26.2627, 130.55617, -82.85201]
[-8.454256, 33.36782, 53.515076, 62.389194, -22.714024, 130.8989, -92.051216]
[-6.933768, 31.709084, 52.929398, 61.579727, -17.574934, 131.24982, -95.20367]
[-5.209606, 30.07044, 52.343723, 61.397213, -12.372371, 131.60213, -98.327484]
[-3.4156182, 28.355892, 51.75804, 61.804794, -7.17587, 131.95442, -101.451294]
[-1.6216203, 26.655823, 51.172363, 62.212383, -1.9924669, 131.88893, -104.57513]
[0.17236747, 24.96852, 50.58669, 62.619972, 2.9893756, 131.8099, -107.698944]
[1.9663589, 23.281216, 50.07002, 63.027573, 7.913269, 131.73087, -110.822754]
[3.7603545, 21.59391, 49.59479, 63.95264, 12.83718, 131.62941, -113.94658]
[5.5524907, 19.90661, 49.140297, 64.928345, 17.761072, 130.77188, -117.0704]
[7.6882706, 18.219313, 48.685806, 65.904045, 22.68496, 129.84497, -120.194214]
[9.884968, 16.532, 48.23131, 66.87977, 27.608868, 128.91808, -123.31804]
[12.0816555, 14.973384, 47.77682, 67.85548, 32.53276, 127.991165, -126.44186]
[14.278344, 14.048414, 47.32233, 68.8312, 37.456657, 127.064255, -129.56569]
[16.475039, 13.167111, 46.867844, 69.8069, 43.09246, 126.13734, -132.6895]
[18.671728, 12.285814, 46.171947, 71.12523, 48.77763, 125.210434, -135.81332]
[20.868416, 11.888881, 45.291286, 73.011154, 54.462795, 124.283516, -138.93715]
[23.044048, 12.585093, 44.325733, 74.89708, 60.108147, 123.356606, -142.06094]
[24.841257, 13.768986, 43.310844, 76.78301, 65.70637, 122.429695, -145.18477]
[26.49928, 14.952875, 42.06136, 79.52834, 71.30458, 121.50278, -148.3086]
[27.986853, 16.136759, 40.71821, 82.969696, 77.074844, 120.575874, -151.43242]
[29.453064, 17.32065, 39.02293, 86.547356, 83.794525, 122.12333, -154.55623]
[30.919275, 18.504538, 37.223377, 90.12499, 90.89921, 124.981636, -157.68007]
[32.385487, 19.688433, 35.42382, 93.70262, 98.00388, 127.83994, -160.80386]
[33.8517, 21.460005, 33.62426, 97.28024, 105.079765, 130.69826, -163.9277]
[35.31791, 23.718565, 31.85373, 100.85788, 112.15531, 133.55656, -167.04234]
[36.78412, 25.977114, 30.32237, 104.43553, 119.230865, 136.41487, -170.1569]
[38.25033, 28.235682, 29.158146, 108.01317, 126.30643, 139.2732, -173.27147]
[39.71655, 30.494232, 28.178358, 111.590805, 132.85405, 142.13148, -176.38603]
