['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x', 'x', 'y', 'n']
[14.2, 21.6, 13.2, 99.1, 165.7, 158.8, -72.3, 25.7, -179.6, 167.9, 0.3558333218097687, 0.32148149609565735, 46]
[8.8, 21.2, 13.5, 99.2, 165.4, 161.2, -72.2, 25.6, -179.6, 167.8, 0.28125, 0.3118518590927124, 47]
[2.2, 21.2, 13.5, 99.3, 166.1, 160.0, -72.2, 24.1, -179.6, 167.8, 0.19333332777023315, 0.27851852774620056, 47]
[-3.5, 21.2, 13.5, 99.2, 165.4, 162.2, -72.2, 24.3, -178.1, 167.7, 0.13500000536441803, 0.23777778446674347, 47]
[-10.8, 21.6, 13.2, 99.0, 165.7, 157.6, -72.3, 27.1, -179.6, 168.1, 0.04333333298563957, 0.17037037014961243, 46]
[32.0, 21.2, 13.5, 99.2, 165.4, 161.4, -72.2, 25.6, -179.6, 167.8, 0.59375, 0.27481481432914734, 47]
[38.1, 21.2, 13.5, 99.2, 165.4, 161.2, -72.2, 24.1, -179.6, 167.9, 0.6700000166893005, 0.22962963581085205, 47]
[44.6, 20.8, 13.8, 99.4, 165.1, 162.4, -72.2, 24.1, -178.1, 167.8, 0.7458333373069763, 0.16592592000961304, 48]
[52.5, 20.8, 13.8, 99.4, 165.1, 163.5, -72.2, 22.7, -179.6, 167.8, 0.8333333134651184, 0.07037036865949631, 48]
[27.3, 9.4, 11.4, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.5262500047683716, 0.145185187458992, 47]
[20.0, 9.4, 11.3, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.4375, 0.16740740835666656, 47]
[13.5, 9.4, 11.3, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.36375001072883606, 0.16740740835666656, 47]
[7.0, 8.7, 11.5, 84.2, 169.0, 166.9, -67.9, 23.1, -178.1, 167.8, 0.2866666615009308, 0.1474074125289917, 48]
[0.4, 9.4, 11.3, 84.4, 168.7, 163.9, -67.3, 24.7, -178.1, 167.8, 0.21458333730697632, 0.12148147821426392, 47]
[-6.4, 8.7, 11.5, 84.2, 169.0, 166.9, -67.9, 23.1, -178.1, 167.7, 0.14499999582767487, 0.0748148113489151, 48]
[31.8, 8.7, 11.3, 84.2, 170.4, 168.1, -67.2, 23.1, -178.1, 167.7, 0.5745833516120911, 0.11925926059484482, 48]
[36.2, 9.4, 11.1, 84.4, 170.6, 165.0, -72.2, 24.7, -178.1, 167.7, 0.6254166960716248, 0.09259258955717087, 47]
