['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 26.0, 24.0, 51.0, 87.0, 52.0, 158.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -62.0, -180.0, -180.0, -180.0, 28.0, 22.0, 50.0, 88.0, 59.0, 156.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 31.0, 21.0, 48.0, 90.0, 70.0, 156.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 32.0, 21.0, 47.0, 91.0, 76.0, 155.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 32.0, 21.0, 47.0, 91.0, 76.0, 155.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 33.0, 22.0, 45.0, 92.0, 82.0, 154.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 33.0, 22.0, 45.0, 92.0, 82.0, 154.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 34.0, 22.0, 43.0, 95.0, 89.0, 154.0, -11.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 35.0, 22.0, 41.0, 97.0, 96.0, 153.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 35.0, 22.0, 41.0, 97.0, 96.0, 153.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 36.0, 22.0, 39.0, 100.0, 104.0, 152.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 37.0, 22.0, 38.0, 102.0, 109.0, 150.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 38.0, 23.0, 37.0, 104.0, 115.0, 150.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 38.0, 23.0, 37.0, 104.0, 115.0, 150.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 39.0, 23.0, 37.0, 106.0, 120.0, 148.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 39.0, 23.0, 37.0, 106.0, 120.0, 148.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 39.0, 23.0, 37.0, 106.0, 120.0, 148.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 39.0, 23.0, 37.0, 106.0, 120.0, 148.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 40.0, 23.0, 37.0, 107.0, 123.0, 147.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 40.0, 23.0, 37.0, 107.0, 123.0, 147.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 25.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 25.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 25.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -5.0, -54.0, -63.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 127.0, 146.0, -12.0, 30.0, -180.0, 31.0]
[-24.0, 14.0, 0.0, 104.0, -6.0, -54.0, -62.0, -180.0, -180.0, -180.0, 41.0, 24.0, 36.0, 109.0, 126.0, 146.0, -12.0, 30.0, -180.0, 31.0]
