['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 12.0, 25.0, 109.0, -16.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 25.0, 109.0, -16.0, 35.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 12.0, 25.0, 109.0, -16.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[20.0, 31.0, 26.0, 99.0, -15.0, 36.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[54.0, 47.0, 26.0, 126.0, 20.0, 36.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[66.0, 42.0, 39.0, 132.0, 74.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[65.0, 37.0, 40.0, 132.0, 74.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[25.0, 45.0, 50.0, 132.0, 16.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[0.0, 40.0, 50.0, 132.0, 0.0, 49.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 31.0, 50.0, 132.0, 13.0, 49.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 30.0, 48.0, 132.0, -4.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 30.0, 48.0, 132.0, -6.0, 48.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 105.0, 2.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-9.0, 10.0, 50.0, 105.0, 2.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
