['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 59.0, 0.0, 49.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 59.0, 0.0, 49.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 59.0, 0.0, 49.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 59.0, 0.0, 49.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 94.0, 2.0, 0.0, 0.0, 58.0, 0.0, 49.0, -1.0, 0.0]
[1.0, 0.0, 50.0, 94.0, 5.0, 0.0, 0.0, 58.0, 0.0, 49.0, -1.0, 0.0]
[8.0, 1.0, 50.0, 94.0, 9.0, 0.0, 0.0, 58.0, 0.0, 49.0, -1.0, 0.0]
[11.0, 32.0, 50.0, 112.0, 9.0, 0.0, 0.0, 58.0, 0.0, 49.0, -1.0, 0.0]
[27.0, 54.0, 48.0, 143.0, 30.0, 0.0, 0.0, 58.0, 0.0, 49.0, -1.0, 0.0]
[50.0, 45.0, 32.0, 149.0, 85.0, 5.0, 0.0, 57.0, 0.0, 49.0, -1.0, 0.0]
[52.0, 63.0, 33.0, 180.0, 90.0, 6.0, 0.0, 42.0, 0.0, 49.0, -1.0, 0.0]
[51.0, 68.0, 33.0, 180.0, 90.0, 3.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[46.0, 75.0, 33.0, 180.0, 68.0, 3.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[17.0, 87.0, 50.0, 180.0, 27.0, 8.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[-1.0, 38.0, 50.0, 100.0, 23.0, 13.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[12.0, 1.0, 38.0, 79.0, 3.0, 13.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[13.0, -2.0, 38.0, 90.0, 21.0, 13.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[12.0, -3.0, 38.0, 91.0, 4.0, 12.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[12.0, -3.0, 38.0, 91.0, -1.0, 12.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[12.0, -3.0, 38.0, 91.0, -1.0, 12.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
[12.0, -3.0, 38.0, 91.0, -1.0, 12.0, 0.0, 39.0, 0.0, 49.0, -1.0, 0.0]
