['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[11.0, 10.0, 22.0, 107.0, -19.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[11.0, 10.0, 22.0, 107.0, -19.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[11.0, 10.0, 22.0, 107.0, -19.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 13.0, 22.0, 106.0, -20.0, 42.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[24.0, 24.0, 22.0, 106.0, -28.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[24.0, 11.0, 17.0, 96.0, 45.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[24.0, 10.0, 21.0, 100.0, 58.0, 42.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[24.0, 10.0, 21.0, 100.0, 59.0, 41.0, 0.0, 58.0, 0.0, 82.0, -1.0, 0.0]
[24.0, 9.0, 21.0, 100.0, 59.0, 40.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[20.0, 15.0, 21.0, 104.0, -4.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 9.0, 21.0, 104.0, -22.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 7.0, 21.0, 104.0, -22.0, 41.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 7.0, 21.0, 104.0, -22.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
