['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[2.0, 18.0, 33.0, 116.0, -12.0, 43.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[2.0, 18.0, 33.0, 116.0, -12.0, 43.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[2.0, 18.0, 35.0, 115.0, -11.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[32.0, 39.0, 38.0, 115.0, -15.0, 42.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[36.0, 30.0, 44.0, 103.0, 32.0, 43.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[45.0, 2.0, 43.0, 88.0, 85.0, 42.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[46.0, 1.0, 44.0, 88.0, 90.0, 39.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[42.0, 5.0, 43.0, 88.0, 69.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[18.0, 10.0, 31.0, 90.0, -8.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-1.0, 9.0, 27.0, 101.0, -9.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 8.0, 26.0, 104.0, -6.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-3.0, 8.0, 26.0, 104.0, -6.0, 35.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
