['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[-9.0, 17.0, 49.0, 113.0, 5.0, 25.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[-9.0, 17.0, 49.0, 113.0, 5.0, 25.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[-9.0, 17.0, 49.0, 113.0, 5.0, 25.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[-8.0, 22.0, 49.0, 114.0, 6.0, 25.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[26.0, 49.0, 49.0, 127.0, 28.0, 26.0, 0.0, 58.0, 0.0, 82.0, -1.0, 0.0]
[48.0, 49.0, 48.0, 144.0, 81.0, 26.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[58.0, 49.0, 38.0, 155.0, 82.0, 26.0, 0.0, 57.0, 0.0, 83.0, -1.0, 0.0]
[41.0, 46.0, 39.0, 132.0, 48.0, 27.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[14.0, 13.0, 39.0, 96.0, 24.0, 34.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[10.0, 6.0, 38.0, 98.0, 16.0, 33.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[10.0, 6.0, 38.0, 99.0, 12.0, 33.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[10.0, 6.0, 38.0, 99.0, 11.0, 33.0, 0.0, 57.0, 0.0, 82.0, -1.0, 0.0]
[10.0, 6.0, 38.0, 99.0, 11.0, 33.0, 0.0, 58.0, 0.0, 82.0, -1.0, 0.0]
