['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[0.0, 0.0, 50.0, 93.0, 2.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[1.0, 0.0, 50.0, 94.0, 4.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[5.0, 24.0, 42.0, 110.0, 3.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[29.0, 57.0, 40.0, 150.0, 16.0, 0.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[60.0, 59.0, 20.0, 157.0, 21.0, 1.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[70.0, 50.0, 16.0, 158.0, 73.0, 1.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[72.0, 48.0, 16.0, 163.0, 82.0, 1.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[72.0, 48.0, 15.0, 163.0, 82.0, 1.0, 0.0, 61.0, 17.0, 102.0, -1.0, 0.0]
[72.0, 47.0, 15.0, 163.0, 82.0, 0.0, 0.0, 56.0, 17.0, 102.0, -1.0, 0.0]
[71.0, 50.0, 14.0, 162.0, 72.0, 2.0, 0.0, 55.0, 17.0, 102.0, -1.0, 0.0]
[53.0, 66.0, 13.0, 162.0, 42.0, 2.0, 0.0, 55.0, 17.0, 102.0, -1.0, 0.0]
[-3.0, 65.0, 50.0, 162.0, 39.0, 2.0, 0.0, 55.0, 17.0, 102.0, -1.0, 0.0]
[-9.0, 57.0, 50.0, 162.0, 61.0, 1.0, 0.0, 55.0, 17.0, 101.0, -1.0, 0.0]
[-9.0, 51.0, 50.0, 163.0, 62.0, 1.0, 0.0, 55.0, 17.0, 101.0, -1.0, 0.0]
[-9.0, 50.0, 50.0, 162.0, 26.0, 0.0, 0.0, 55.0, 17.0, 101.0, -1.0, 0.0]
[-9.0, 26.0, 50.0, 115.0, 6.0, 0.0, 0.0, 55.0, 17.0, 101.0, -2.0, 0.0]
[-9.0, 18.0, 50.0, 111.0, 22.0, 9.0, 0.0, 55.0, 17.0, 101.0, -2.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 28.0, 12.0, 0.0, 53.0, 17.0, 101.0, -2.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 21.0, 12.0, 0.0, 53.0, 17.0, 101.0, -2.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 21.0, 12.0, 0.0, 53.0, 17.0, 101.0, -3.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 21.0, 12.0, 0.0, 53.0, 17.0, 101.0, -3.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 21.0, 12.0, 0.0, 53.0, 17.0, 101.0, -3.0, 0.0]
[-9.0, 16.0, 50.0, 112.0, 21.0, 12.0, 0.0, 53.0, 17.0, 101.0, -3.0, 0.0]
