['left-arm1', 'left-arm2', 'left-arm3', 'left-elbow1', 'left-wrist1', 'left-wrist2', 'left-thumb1', 'left-thumb2', 'left-forefinger', 'left-littlefingers', 'neck1', 'neck2']
[4.0, 7.0, 21.0, 104.0, -22.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 7.0, 21.0, 104.0, -22.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[4.0, 7.0, 21.0, 104.0, -22.0, 40.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[6.0, 21.0, 31.0, 103.0, -16.0, 41.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[9.0, 14.0, 18.0, 93.0, 52.0, 49.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 13.0, 19.0, 102.0, 67.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[11.0, 13.0, 19.0, 102.0, 68.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[12.0, 21.0, 19.0, 106.0, 52.0, 47.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-4.0, 18.0, 19.0, 110.0, -11.0, 48.0, 0.0, 57.0, 0.0, 81.0, -1.0, 0.0]
[-5.0, 12.0, 19.0, 110.0, -16.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
[-5.0, 12.0, 19.0, 110.0, -16.0, 47.0, 0.0, 58.0, 0.0, 81.0, -1.0, 0.0]
