['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -4.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -5.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -5.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 10.0, 66.0, 56.0, 110.0, -5.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 10.0, 66.0, 56.0, 110.0, -5.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -6.0, 55.0, -10.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -6.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 10.0, 66.0, 56.0, 110.0, -6.0, 55.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 11.0, 66.0, 56.0, 110.0, -8.0, 56.0, -10.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 11.0, 66.0, 56.0, 110.0, -10.0, 56.0, -10.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 11.0, 65.0, 56.0, 111.0, -12.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 11.0, 65.0, 56.0, 111.0, -12.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 65.0, 56.0, 111.0, -17.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 64.0, 56.0, 111.0, -19.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 64.0, 56.0, 111.0, -19.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 64.0, 56.0, 111.0, -19.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 63.0, 55.0, 111.0, -24.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 63.0, 55.0, 111.0, -24.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 12.0, 63.0, 55.0, 111.0, -24.0, 56.0, -9.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 13.0, 62.0, 54.0, 111.0, -29.0, 54.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 14.0, 62.0, 53.0, 111.0, -31.0, 53.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 14.0, 62.0, 53.0, 111.0, -31.0, 53.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 15.0, 62.0, 53.0, 111.0, -33.0, 53.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 17.0, 62.0, 53.0, 111.0, -34.0, 53.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 17.0, 62.0, 53.0, 111.0, -34.0, 53.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 17.0, 62.0, 53.0, 111.0, -35.0, 52.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 19.0, 62.0, 53.0, 111.0, -35.0, 52.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 20.0, 62.0, 53.0, 111.0, -36.0, 52.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 20.0, 62.0, 53.0, 111.0, -36.0, 52.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 21.0, 62.0, 53.0, 111.0, -36.0, 51.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 23.0, 62.0, 52.0, 111.0, -36.0, 51.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 24.0, 62.0, 52.0, 111.0, -37.0, 49.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 24.0, 62.0, 52.0, 111.0, -37.0, 49.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 25.0, 62.0, 51.0, 111.0, -37.0, 49.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 27.0, 62.0, 50.0, 111.0, -36.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 27.0, 62.0, 50.0, 111.0, -36.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 28.0, 62.0, 49.0, 111.0, -34.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 29.0, 61.0, 48.0, 111.0, -31.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 30.0, 61.0, 48.0, 111.0, -30.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 31.0, 61.0, 47.0, 111.0, -28.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 31.0, 61.0, 47.0, 111.0, -28.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 32.0, 61.0, 46.0, 111.0, -25.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 32.0, 61.0, 46.0, 111.0, -25.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 34.0, 61.0, 45.0, 111.0, -21.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 35.0, 60.0, 45.0, 111.0, -15.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 37.0, 60.0, 45.0, 112.0, -11.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 37.0, 60.0, 45.0, 112.0, -11.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 39.0, 60.0, 45.0, 113.0, -4.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 41.0, 59.0, 45.0, 113.0, 3.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 41.0, 59.0, 45.0, 113.0, 3.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 41.0, 59.0, 45.0, 114.0, 5.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 41.0, 59.0, 45.0, 114.0, 5.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 41.0, 59.0, 45.0, 114.0, 5.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 44.0, 58.0, 45.0, 114.0, 19.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 44.0, 58.0, 45.0, 114.0, 19.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 46.0, 56.0, 45.0, 114.0, 28.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 46.0, 56.0, 45.0, 114.0, 28.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 47.0, 54.0, 45.0, 115.0, 40.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 47.0, 54.0, 45.0, 115.0, 40.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 49.0, 53.0, 45.0, 115.0, 43.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 50.0, 52.0, 45.0, 115.0, 45.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 50.0, 52.0, 45.0, 115.0, 45.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 50.0, 51.0, 45.0, 115.0, 53.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 51.0, 50.0, 45.0, 115.0, 58.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 52.0, 49.0, 45.0, 116.0, 62.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -178.0, -180.0, 52.0, 49.0, 45.0, 116.0, 62.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 53.0, 47.0, 45.0, 116.0, 69.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 54.0, 46.0, 45.0, 117.0, 74.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 54.0, 45.0, 45.0, 117.0, 78.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 54.0, 45.0, 45.0, 117.0, 78.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 55.0, 43.0, 45.0, 118.0, 83.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 55.0, 43.0, 45.0, 118.0, 83.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 56.0, 42.0, 45.0, 118.0, 85.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 56.0, 41.0, 45.0, 120.0, 90.0, 44.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 57.0, 41.0, 45.0, 121.0, 93.0, 43.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 58.0, 40.0, 45.0, 122.0, 95.0, 44.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 58.0, 40.0, 45.0, 122.0, 95.0, 44.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 59.0, 40.0, 45.0, 124.0, 100.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 59.0, 40.0, 45.0, 125.0, 102.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 59.0, 40.0, 45.0, 125.0, 102.0, 45.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 60.0, 40.0, 45.0, 126.0, 104.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 61.0, 39.0, 45.0, 128.0, 108.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 61.0, 39.0, 45.0, 128.0, 108.0, 46.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 61.0, 39.0, 45.0, 129.0, 111.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 39.0, 45.0, 130.0, 114.0, 47.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 38.0, 44.0, 131.0, 117.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 38.0, 44.0, 131.0, 117.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 38.0, 44.0, 131.0, 117.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 38.0, 44.0, 131.0, 117.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 38.0, 44.0, 131.0, 117.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 37.0, 43.0, 131.0, 125.0, 49.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 35.0, 43.0, 131.0, 127.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 35.0, 43.0, 131.0, 127.0, 48.0, -11.0, 33.0, -179.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -63.0, -180.0, -179.0, -180.0, 62.0, 34.0, 43.0, 131.0, 128.0, 49.0, -11.0, 33.0, -179.0, 33.0]
