['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 68.0, 56.0, 114.0, 22.0, 79.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -61.0, -180.0, -180.0, -180.0, 9.0, 68.0, 56.0, 114.0, 21.0, 79.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 9.0, 68.0, 56.0, 114.0, 19.0, 79.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 9.0, 68.0, 57.0, 114.0, 18.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 9.0, 68.0, 57.0, 114.0, 18.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 68.0, 57.0, 114.0, 16.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 68.0, 57.0, 114.0, 16.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 57.0, 114.0, 13.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 57.0, 114.0, 12.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 57.0, 114.0, 12.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 56.0, 113.0, 10.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 56.0, 113.0, 6.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 56.0, 113.0, 6.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 10.0, 69.0, 56.0, 113.0, 3.0, 80.0, -3.0, 44.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 11.0, 69.0, 56.0, 112.0, 2.0, 80.0, -3.0, 44.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 11.0, 69.0, 56.0, 112.0, 2.0, 80.0, -3.0, 44.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 11.0, 69.0, 56.0, 111.0, 1.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 12.0, 68.0, 56.0, 109.0, 1.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 12.0, 68.0, 56.0, 109.0, 1.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 13.0, 68.0, 56.0, 107.0, 2.0, 80.0, -3.0, 44.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 13.0, 68.0, 56.0, 105.0, 3.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 13.0, 68.0, 56.0, 105.0, 3.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 15.0, 67.0, 56.0, 103.0, 3.0, 80.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 17.0, 67.0, 56.0, 101.0, 4.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 18.0, 66.0, 57.0, 100.0, 6.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 18.0, 66.0, 57.0, 100.0, 6.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 18.0, 66.0, 57.0, 100.0, 6.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 20.0, 64.0, 57.0, 98.0, 11.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 20.0, 64.0, 57.0, 98.0, 11.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 20.0, 64.0, 57.0, 98.0, 11.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 20.0, 64.0, 57.0, 98.0, 11.0, 81.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 22.0, 58.0, 57.0, 95.0, 17.0, 82.0, -3.0, 44.0, -180.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -180.0, -180.0, 22.0, 58.0, 57.0, 95.0, 17.0, 82.0, -3.0, 44.0, -180.0, 35.0]
