['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 8.0, 68.0, 57.0, 115.0, 28.0, 45.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -61.0, -180.0, -179.0, -180.0, 9.0, 68.0, 56.0, 115.0, 26.0, 45.0, -3.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 8.0, 68.0, 56.0, 115.0, 23.0, 55.0, -3.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 8.0, 68.0, 56.0, 114.0, 20.0, 55.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 8.0, 68.0, 56.0, 114.0, 19.0, 68.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 67.0, 56.0, 114.0, 19.0, 68.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 67.0, 56.0, 113.0, 19.0, 68.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 67.0, 56.0, 113.0, 19.0, 80.0, -4.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 66.0, 57.0, 113.0, 19.0, 80.0, -5.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 65.0, 57.0, 111.0, 19.0, 80.0, -5.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 64.0, 57.0, 110.0, 19.0, 90, -6.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 64.0, 57.0, 110.0, 19.0, 90.0, -6.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 62.0, 57.0, 108.0, 19.0, 104.0, -7.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 61.0, 56.0, 106.0, 19.0, 104.0, -7.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 61.0, 56.0, 106.0, 19.0, 110.0, -8.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 60.0, 56.0, 105.0, 20.0, 110.0, -8.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 9.0, 57.0, 56.0, 101.0, 21.0, 120.0, -8.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 10.0, 56.0, 56.0, 99.0, 21.0, 128.0, -8.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 10.0, 56.0, 56.0, 99.0, 21.0, 135.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 10.0, 53.0, 56.0, 96.0, 22.0, 136.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 11.0, 51.0, 56.0, 93.0, 24.0, 145.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 11.0, 51.0, 56.0, 93.0, 24.0, 155.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 11.0, 49.0, 56.0, 92.0, 25.0, 166.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 12.0, 45.0, 56.0, 88.0, 27.0, 173.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 12.0, 42.0, 56.0, 87.0, 29.0, 173.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 12.0, 42.0, 56.0, 87.0, 29.0, 173.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 12.0, 42.0, 56.0, 87.0, 29.0, 173.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -61.0, -180.0, -179.0, -180.0, 14.0, 38.0, 56.0, 84.0, 36.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -61.0, -180.0, -179.0, -180.0, 14.0, 38.0, 56.0, 84.0, 36.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 34.0, 56.0, 83.0, 41.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 15.0, 34.0, 56.0, 83.0, 41.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 17.0, 30.0, 56.0, 82.0, 43.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 18.0, 28.0, 56.0, 82.0, 47.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 18.0, 28.0, 56.0, 82.0, 47.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 18.0, 28.0, 56.0, 82.0, 47.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 20.0, 25.0, 54.0, 83.0, 56.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 21.0, 24.0, 53.0, 83.0, 59.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 21.0, 24.0, 53.0, 83.0, 59.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 23.0, 23.0, 50.0, 84.0, 67.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 23.0, 22.0, 49.0, 85.0, 70.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 23.0, 22.0, 49.0, 85.0, 70.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -61.0, -180.0, -179.0, -180.0, 24.0, 22.0, 46.0, 86.0, 78.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 24.0, 22.0, 43.0, 88.0, 87.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 24.0, 22.0, 43.0, 88.0, 87.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -61.0, -180.0, -179.0, -180.0, 24.0, 22.0, 42.0, 89.0, 91.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 25.0, 22.0, 38.0, 91.0, 101.0, 174.0, -9.0, 33.0, -180.0, 33.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -56.0, -60.0, -180.0, -179.0, -180.0, 25.0, 22.0, 37.0, 92.0, 104.0, 174.0, -9.0, 33.0, -180.0, 33.0]
